Source,Target
14,1
15,3
17,8
19,16
20,13
22,4
23,23
24,24
25,11
28,10
29,15
30,22
32,33
33,35
34,36
35,30
36,31
39,34
41,41
42,27
43,28
44,26
46,45
47,29
48,38
49,75
50,32
51,44
54,47
55,52
57,42
59,40
60,55
62,49
63,61
64,58
65,46
66,51
68,60
69,48
72,81
73,65
74,54
75,59
76,68
77,93
78,56
79,91
83,79
84,84
85,67
86,69
87,72
89,106
90,64
92,83
93,92
94,95
95,96
98,132
100,90
101,80
102,105
103,82
104,104
106,89
108,112
110,117
111,108
112,103
113,99
114,126
116,98
117,100
118,116
119,131
120,87
121,88
122,102
123,128
124,115
125,130
126,86
127,129
128,144
131,120
132,134
134,119
135,113
136,118
137,124
138,133
140,154
141,138
143,143
145,123
147,137
148,146
150,149
152,163
153,142
155,179
157,161
158,166
159,151
160,157
163,160
164,165
165,172
166,203
167,156
168,162
170,173
171,185
174,175
176,204
177,159
178,171
181,184
182,189
183,208
185,223
187,182
188,194
189,183
190,202
191,198
192,192
194,207
195,209
196,187
197,188
200,197
202,213
204,193
207,210
208,206
209,230
210,243
212,212
213,200
215,219
217,231
221,217
222,218
224,271
227,216
228,226
232,270
233,245
234,246
235,258
236,242
237,250
238,211
240,269
241,222
242,241
243,265
244,266
246,240
249,256
250,281
251,233
252,254
254,234
255,228
256,239
257,244
259,264
260,238
261,293
262,248
263,263
264,292
265,262
266,285
272,249
273,330
276,310
280,288
281,301
282,299
283,275
284,294
285,313
286,252
288,286
289,340
290,291
291,287
293,322
294,312
295,351
296,283
300,290
303,278
304,289
305,304
306,323
307,319
308,305
310,345
311,321
312,339
313,309
314,337
315,338
316,350
317,354
318,318
320,360
321,306
323,347
324,331
325,315
326,336
328,311
329,317
330,353
331,378
333,326
334,349
335,327
336,342
340,387
341,395
343,368
346,410
347,341
348,344
349,374
350,392
352,421
355,357
356,356
359,379
363,352
368,403
369,380
371,408
372,362
373,363
374,364
375,358
376,437
378,400
380,407
381,426
383,428
384,406
386,440
387,441
390,436
391,385
393,430
394,466
395,422
398,465
399,396
402,393
403,402
404,416
405,425
406,434
407,439
408,483
409,424
410,411
414,438
416,502
417,444
418,498
419,448
421,451
423,449
424,468
426,497
427,442
430,454
432,447
433,455
434,467
436,461
437,471
438,450
441,512
442,532
443,494
444,470
445,504
446,469
447,485
448,501
449,491
450,492
451,503
455,478
458,475
459,543
460,535
462,484
465,486
466,526
468,533
469,516
471,555
472,488
475,524
478,493
480,520
484,499
485,505
486,528
488,540
489,530
490,539
493,570
494,579
495,521
497,554
502,519
503,514
504,517
506,583
509,476
510,545
511,546
513,592
519,569
521,557
524,568
525,594
526,625
527,551
529,593
530,537
532,636
533,548
536,581
537,616
538,637
540,558
541,560
545,609
546,602
547,613
548,623
549,566
550,617
556,596
558,645
560,624
561,608
562,610
564,580
565,650
566,576
568,642
572,607
573,643
574,653
576,595
577,600
579,631
580,628
582,577
584,635
588,605
590,649
591,652
592,598
593,663
599,685
600,599
603,696
605,647
606,690
608,667
612,669
613,675
616,630
617,638
618,684
621,621
623,676
627,659
628,673
629,688
638,658
639,678
640,681
642,698
645,668
646,687
649,695
650,707
651,734
652,665
653,666
657,706
659,694
661,664
662,693
663,718
667,705
670,715
671,679
674,686
675,721
676,725
677,720
679,722
682,692
685,697
687,739
688,748
691,749
692,763
693,699
697,731
698,713
701,711
702,712
703,775
706,747
710,758
713,786
714,798
715,723
716,755
718,779
719,728
720,729
721,796
722,785
724,716
726,738
730,774
731,797
733,795
734,777
735,778
737,757
739,771
744,783
746,752
747,753
750,754
751,756
753,844
754,780
757,766
760,809
761,757
762,765
765,804
766,816
767,819
770,827
772,857
773,829
774,836
775,803
777,826
779,877
782,807
784,782
786,855
788,821
790,784
792,813
793,789
795,881
796,799
802,839
803,852
804,860
807,862
810,802
811,865
813,874
815,814
816,825
818,831
822,904
823,883
824,824
826,858
827,832
831,811
832,873
833,896
835,897
838,872
840,823
841,864
843,871
844,893
847,914
848,900
849,845
851,886
853,846
855,885
856,911
858,882
860,923
861,895
866,912
867,905
868,894
870,868
872,928
876,919
878,902
881,910
882,922
883,955
889,901
890,909
891,916
893,941
895,915
896,926
897,891
899,950
901,929
